,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segment,Type ,Markets,Top Markets,Zone,Print-run,Publication,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,Jan-26,Feb-26,Mar-26
Saloon & Spa,Direct PO,1 - Total,All markets,North,,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOI IC,Direct PO,1 - Total,All markets,North,,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,5.1,4.7,4.7,5.4,5.5,5.4,6.0,5.3,7.0,9.2,10.3,10.2,12.3,12.2,12.7,13.9,12.8
ET IC,Direct PO,1 - Total,All markets,North,,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCD,Direct PO,1 - Total,All markets,North,,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.7,0.7,0.7,0.7,0.7,0.5,0.7,0.7,0.7
CSP,Direct PO,1 - Total,All markets,North,,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.4,0.4,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0
Sponsorship,Direct PO,1 - Total,All markets,North,,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,4.0,6.9,7.8,3.8,1.0,0.0,0.0,0.0,0.0
Airport,Direct PO,1 - Total,All markets,South 1,,1-TOI,4.5,5.9,6.0,6.0,6.0,5.9,6.0,7.0,7.0,6.4,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.2,6.7,6.5,6.7,6.7,6.7,6.7
Airlines ,Direct PO,1 - Total,All markets,South 1,,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Railways ,Direct PO,1 - Total,All markets,South 1,,1-TOI,0.7,0.7,0.6,0.6,0.4,0.3,0.7,4.6,4.8,5.1,2.9,2.8,2.8,2.8,2.9,2.4,2.8,3.0,1.6,2.5,3.1,3.4,3.6,3.7,3.8
Metro Railways,Direct PO,1 - Total,All markets,South 1,,1-TOI,3.3,3.5,3.7,4.0,4.0,4.0,4.0,4.0,4.3,4.2,4.5,4.5,4.5,4.6,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
