,,,,,,,,,,,,,,,,,,Chain name,(All),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airport,,,,,,,,Hotel,,,,,,,,,,Hospitals,,,,,,,,,,Railways,,,,,,,,Roadways,,,,,,,,Offices & Banks,,,,,,,,CCD,,,,,,,,Chaayos,,,,,,,,Campus TOIC,,,,,,,,Campus ETIC,,
Zone,City,Sum of TOI,Sum of ET,Sum of NBT,Sum of MT,TOTAL,,Dec 25 PO,,Cat,,,,,,,,Zone,City name, TOI , ET , NBT , MT ,TOTAL,,,,Zone,Train type, TOI , ET , NBT , MT ,TOTAL,,Zone,City name,Sum of TOI,Sum of ET,Sum of NBT,Sum of MT,TOTAL,,Zone,City name,TOI,ET,NBT,MT,TOTAL,,State,City,Sum of # TOI,Sum of # ET,Sum of # NBT,Sum of # MT,TOTAL,,Region,City,Sum of TOI,Sum of ET,Sum of NBT,Sum of MT,TOTAL,,Zone,City name,PO,,,,,,Zone,City name,PO
West I,Nashik, 250 , 50 ,, 250 , 550 ,,South 1,CALICUT,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAST,Sundergarh, -   ,,,,,,North,LUCKNOW,
West II,Ahmedabad," 2,900 ", 800 ,,," 3,700 ",,South 1,KOCHI,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAST,Tensa, 8 ,,,,,,North,Noida,
West II,BARODA, 400 ,,,, 400 ,,South 1,KOTTAYAM,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAST,Tezpur, 12 ,,,,,,North,RAWATPUR,
West II,NAGPUR, 800 , 100 ,, 300 ," 1,200 ",,South 1,ROK -Hubli,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAST,WB, 185 ,,,,,,North,SITAPUR,
West II,PUNE,,,, 300 , 300 ,,South 1,ROK -Mangalore,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North,ALLAHABAD,,,,,,,South 1,Bangalore," 2,231 "
West II,RAIPUR, 200 ,,,, 200 ,,South 1,ROK -Mysore,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North,BHOPAL,,,,,,,South 2,Chennai,
West II,RAJKOT, 150 ,,,, 150 ,,South 2,Chennai ,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North,CHANDIGARH,,,,,,,South 2,Hydearbad,
West II,SURAT, 200 ,,,, 200 ,,South 2,Coimbatore ,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North,Delhi,,,,,,,West 1,Aurangabad,
Grand Total,," 49,506 "," 12,512 "," 2,790 "," 1,650 "," 66,458 ",,South 2,Hyderabad,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North,Ghaziabad,,,,,,,West 1,Canacona, 1 
,,,,,,,,South 2,Madurai ,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North,GORAKHPUR,,,,,,,West 1,Indore, 47 
,,,,,,,,South 2,Trichy ,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North,Gurgaon,,,,,,,West 1,Margaon, -   
,,,,,,,,South 2,Vijayawada,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North,Jaipur,,,,,,,West 1,Mumbai, 546 
,,,,,,,,South 2,Vijayawada/Guntur,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North,KANPUR,,,,,,,West 1,Nashik,
